code/LebwohlLasher_MPI.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.329, Time: 4.122071 s
         562867 function calls (560147 primitive calls) in 6.565 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
       52    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
       52    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       51    0.000    0.000    0.039    0.001 <__array_function__ internals>:177(eig)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(prod)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(vstack)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(zeros_like)
   183/16    0.001    0.000    2.236    0.140 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      465    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      161    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      465    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      304    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    232/4    0.000    0.000    2.290    0.572 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1728    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
