Compiling LebwohlLasher_cython.pyx because it changed.
[1/1] Cythonizing LebwohlLasher_cython.pyx
         3139324 function calls (2879000 primitive calls) in 3.571 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
     11/9    0.000    0.000    0.047    0.005 <frozen importlib._bootstrap>:1002(_gcd_import)
4824/4511    0.005    0.000    0.474    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      921    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      529    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      529    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      529    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      921    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      531    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      392    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   609/15    0.001    0.000    1.245    0.083 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     8912    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     1451    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:342(__init__)
      390    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      825    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:376(cached)
     7379    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:389(parent)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      454    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  454/370    0.001    0.000    0.202    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      531    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
   454/14    0.003    0.000    1.247    0.089 <frozen importlib._bootstrap>:650(_load_unlocked)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      921    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      510    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
     2236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     2236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
  515/513    0.007    0.000    0.078    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
   523/41    0.003    0.000    1.258    0.031 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   529/47    0.004    0.000    1.259    0.027 <frozen importlib._bootstrap>:986(_find_and_load)
      390    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      558    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       45    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    45/37    0.000    0.000    0.078    0.002 <frozen importlib._bootstrap_external>:1107(exec_module)
       50    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     1199    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      510    0.003    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      510    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      850    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1987    0.024    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       51    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
