./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(any)
    10631    0.006    0.000    0.018    0.000 <__array_function__ internals>:177(can_cast)
      160    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(column_stack)
      161    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       30    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(linspace)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
27745/26764    0.025    0.000    2.562    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1603    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      850    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      850    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:147(__enter__)
      850    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1603    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      848    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      753    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  1221/34    0.001    0.000    2.763    0.081 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    10065    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:269(_module_repr)
     1768    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:342(__init__)
      728    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1536    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:376(cached)
     5130    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:389(parent)
     1060    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      820    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  820/793    0.002    0.000    0.391    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:566(_module_repr_from_spec)
      848    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
   820/34    0.005    0.000    2.753    0.081 <frozen importlib._bootstrap>:650(_load_unlocked)
      837    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     1603    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      832    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
     3363    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:863(__enter__)
     3363    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
      837    0.009    0.000    0.161    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
   846/33    0.004    0.000    2.767    0.084 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   850/33    0.006    0.000    2.768    0.084 <frozen importlib._bootstrap>:986(_find_and_load)
      728    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      593    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       80    0.000    0.000    0.319    0.004 <frozen importlib._bootstrap_external>:1099(create_module)
    80/66    0.000    0.000    0.098    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1173(__iter__)
       85    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     1307    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
  833/832    0.004    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      832    0.001    0.000    0.145    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       85    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
     1223    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     2117    0.022    0.000    0.193    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       85    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       85    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     1456    0.007    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     2117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      808    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      728    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      728    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     2184    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      728    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      728    0.003    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    14126    0.011    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1223    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
    14126    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1456    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
   728/33    0.003    0.000    2.751    0.083 <frozen importlib._bootstrap_external>:777(exec_module)
     8786    0.004    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      728    0.009    0.000    0.208    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     5856    0.004    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     1143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
