LebwohlLasher_numpy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.323, Time: 4.897201 s
         3622811 function calls (3608101 primitive calls) in 6.367 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
       51    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(broadcast_arrays)
      160    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
      212    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
       85    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
       51    0.000    0.000    0.009    0.000 <__array_function__ internals>:2(eig)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
       30    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
       51    0.000    0.000    0.008    0.000 <__array_function__ internals>:2(meshgrid)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(prod)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       51    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(vstack)
       51    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(zeros_like)
    342/3    0.002    0.000    1.430    0.477 <frozen importlib._bootstrap>:1002(_find_and_load)
        6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1018(_gcd_import)
   484/53    0.001    0.000    1.246    0.024 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      696    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      342    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:156(__enter__)
      342    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
      696    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      343    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      354    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    484/4    0.000    0.000    1.427    0.357 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     3178    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      337    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      594    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:385(cached)
      690    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      325    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      325    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      325    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      343    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    325/4    0.002    0.000    1.429    0.357 <frozen importlib._bootstrap>:659(_load_unlocked)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      696    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
     1330    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
     1330    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
      334    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    338/3    0.002    0.000    1.430    0.477 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      274    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      274    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
       46    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
    46/36    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
     2947    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1223(_find_parent_path_names)
     2947    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1237(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1251(__iter__)
      548    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1096    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
      647    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     1341    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  331/330    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      330    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      469    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      563    0.006    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      433    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      548    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
