LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.320, Time: 5.099582 s
         2757701 function calls (2742979 primitive calls) in 6.799 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(any)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(atleast_2d)
      160    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(column_stack)
      212    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(concatenate)
       85    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copyto)
       51    0.000    0.000    0.010    0.000 <__array_function__ internals>:177(eig)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(empty_like)
       30    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(linspace)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
      100    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(prod)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
       51    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(vstack)
       51    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(zeros_like)
        6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
   482/52    0.001    0.000    1.481    0.028 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      705    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      355    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      355    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      705    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      350    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    493/4    0.000    0.000    1.661    0.415 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3390    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      612    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
      692    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      334    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      334    0.001    0.000    0.095    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    334/4    0.002    0.000    1.662    0.415 <frozen importlib._bootstrap>:650(_load_unlocked)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      705    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      340    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
     1372    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1372    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      345    0.004    0.000    0.042    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    351/3    0.002    0.000    1.663    0.554 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    355/3    0.003    0.000    1.663    0.554 <frozen importlib._bootstrap>:986(_find_and_load)
      284    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       44    0.000    0.000    0.084    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
    44/33    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1173(__iter__)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      696    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
  341/340    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      340    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      328    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      600    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      568    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      328    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      852    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      284    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
